2026-07-01;C001;2;21.0
2026-07-01;C002;1;12.0
2026-07-01;C003;3;55.5
2026-07-01;C004;2;34.0
2026-07-01;C005;1;19.0
2026-07-02;C006;2;27.0
2026-07-02;C007;1;16.5
2026-07-02;C008;2;31.0
2026-07-02;C009;1;16.0
2026-07-02;C010;3;34.5
2026-07-03;C011;2;41.0
2026-07-03;C012;1;22.0
2026-07-03;C013;2;43.0
2026-07-03;C014;3;54.0
2026-07-03;C015;1;17.5
2026-07-04;C016;2;30.0
2026-07-04;C017;1;20.0
2026-07-04;C018;2;42.0
2026-07-04;C019;3;37.5
2026-07-04;C020;2;27.0
2026-07-05;C021;1;19.5
2026-07-05;C022;2;29.0
2026-07-05;C023;1;20.5
2026-07-05;C024;2;42.0
2026-07-05;C025;1;22.5
2026-07-06;C026;2;38.0
2026-07-06;C027;3;42.0
2026-07-06;C028;1;22.0
2026-07-06;C029;2;36.0
2026-07-06;C030;1;23.5
2026-07-07;C001;1;10.5
2026-07-07;C003;2;37.0
2026-07-07;C005;2;38.0
2026-07-07;C007;3;49.5
2026-07-07;C009;2;32.0
2026-07-08;C011;1;20.5
2026-07-08;C013;1;21.5
2026-07-08;C015;2;35.0
2026-07-08;C017;2;40.0
2026-07-08;C019;1;12.5
2026-07-09;C021;2;39.0
2026-07-09;C023;3;61.5
2026-07-09;C025;2;45.0
2026-07-09;C027;1;14.0
2026-07-09;C029;2;36.0
2026-07-10;C002;3;36.0
2026-07-10;C006;1;13.5
2026-07-10;C014;2;36.0
2026-07-10;C022;1;14.5
2026-07-10;C030;2;47.0
